,time,cpu%,mem%
315,20210108-100136,0.0,0.6497687006101727
316,20210108-100139,0.015,0.6497687006101727
317,20210108-100142,0.015,0.6497687006101727
318,20210108-100145,0.0,0.6497687006101727
319,20210108-100148,0.0,0.6497687006101727
320,20210108-100151,0.0,0.6497687006101727
321,20210108-100154,0.015,0.6497687006101727
322,20210108-100157,0.0,0.6497687006101727
323,20210108-100200,0.0,0.6497687006101727
324,20210108-100203,0.0,0.6497687006101727
325,20210108-100206,0.015,0.6497687006101727
326,20210108-100209,0.0,0.6497687006101727
327,20210108-100212,0.0,0.6497687006101727
328,20210108-100215,0.0,0.6497687006101727
329,20210108-100218,0.0,0.6497687006101727
330,20210108-100221,0.0,0.6497687006101727
331,20210108-100224,0.015,0.6497687006101727
332,20210108-100227,0.0,0.6497687006101727
333,20210108-100230,0.0,0.6497687006101727
334,20210108-100233,0.015,0.6497687006101727
335,20210108-100236,0.0,0.6497687006101727
336,20210108-100239,0.015,0.6497687006101727
337,20210108-100242,0.0,0.6497687006101727
338,20210108-100245,0.0,0.6497687006101727
339,20210108-100248,0.0,0.6497687006101727
340,20210108-100251,0.0,0.6497687006101727
341,20210108-100254,0.015,0.6497687006101727
342,20210108-100257,0.0,0.6497687006101727
343,20210108-100300,0.0,0.6497687006101727
344,20210108-100303,0.0,0.6497687006101727
345,20210108-100306,0.015,0.6497687006101727
346,20210108-100309,0.0,0.6497687006101727
347,20210108-100312,0.0,0.6497687006101727
348,20210108-100315,0.0,0.6497687006101727
349,20210108-100318,0.015,0.6497687006101727
350,20210108-100321,0.0,0.6497687006101727
351,20210108-100324,1.775,0.8005917047287006
352,20210108-100327,1.215,0.975664205744562
353,20210108-100330,0.0,0.975664205744562
354,20210108-100333,0.0,0.975664205744562
355,20210108-100336,0.0,0.975664205744562
356,20210108-100339,0.0,0.975664205744562
357,20210108-100342,0.034999999999999996,0.975664205744562
358,20210108-100345,0.0,0.975664205744562
359,20210108-100348,0.015,0.975664205744562
360,20210108-100351,0.0,0.975664205744562
361,20210108-100354,0.015,0.975664205744562
362,20210108-100357,0.0,0.975664205744562
363,20210108-100400,0.0,0.975664205744562
364,20210108-100403,0.0,0.975664205744562
365,20210108-100406,0.0,0.975664205744562
366,20210108-100409,0.015,0.975664205744562
367,20210108-100412,0.0,0.975664205744562
368,20210108-100415,0.0,0.975664205744562
369,20210108-100418,0.0,0.975664205744562
370,20210108-100421,0.015,0.975664205744562
371,20210108-100424,0.0,0.975664205744562
372,20210108-100427,0.0,0.975664205744562
373,20210108-100430,0.0,0.975664205744562
374,20210108-100433,0.0,0.975664205744562
375,20210108-100436,0.015,0.975664205744562
376,20210108-100439,0.0,0.975664205744562
377,20210108-100442,0.28500000000000003,0.9873486615498386
378,20210108-100445,0.015,0.9873486615498386
379,20210108-100448,0.0,0.9873486615498386
380,20210108-100451,0.0,0.9873486615498386
381,20210108-100454,0.0,0.9873486615498386
382,20210108-100457,0.0,0.9873486615498386
383,20210108-100500,0.0,0.9873486615498386
384,20210108-100503,0.015,0.9873486615498386
385,20210108-100506,0.015,0.9873486615498386
386,20210108-100509,0.0,0.9873486615498386
387,20210108-100512,0.0,0.9873486615498386
388,20210108-100515,0.0,0.9873486615498386
389,20210108-100518,0.015,0.9873486615498386
390,20210108-100521,0.0,0.9873486615498386
391,20210108-100524,0.0,0.9873486615498386
392,20210108-100527,0.0,0.9873486615498386
393,20210108-100530,0.015,0.9873486615498386
394,20210108-100533,0.0,0.9873486615498386
395,20210108-100536,0.0,0.9873486615498386
396,20210108-100539,0.0,0.9873486615498386
397,20210108-100542,0.0,0.9873486615498386
398,20210108-100545,0.015,0.9873486615498386
399,20210108-100548,0.0,0.9873486615498386
400,20210108-100551,0.0,0.9873486615498386
401,20210108-100554,0.0,0.9873486615498386
402,20210108-100557,0.015,0.9873486615498386
403,20210108-100600,0.0,0.9873486615498386
404,20210108-100603,0.0,0.9873486615498386
405,20210108-100606,0.0,0.9873486615498386
406,20210108-100609,0.015,0.9873486615498386
407,20210108-100612,0.0,0.9873486615498386
408,20210108-100615,0.0,0.9873486615498386
409,20210108-100618,0.015,0.9873486615498386
410,20210108-100621,0.0,0.9873486615498386
411,20210108-100624,0.0,0.9873486615498386
412,20210108-100627,0.0,0.9873486615498386
413,20210108-100630,0.015,0.9873486615498386
414,20210108-100633,0.0,0.9873486615498386
415,20210108-100636,0.0,0.9873486615498386
416,20210108-100639,0.0,0.9873486615498386
417,20210108-100642,0.015,0.9873486615498386
418,20210108-100645,0.0,0.9873486615498386
419,20210108-100648,0.0,0.9873486615498386
420,20210108-100651,0.0,0.9873486615498386
421,20210108-100654,0.015,0.9873547345518164
422,20210108-100657,0.0,0.9873547345518164
423,20210108-100700,0.0,0.9873547345518164
424,20210108-100703,0.0,0.9873547345518164
425,20210108-100706,0.0,0.9873547345518164
426,20210108-100709,0.015,0.9873547345518164
427,20210108-100712,0.0,0.9873547345518164
428,20210108-100715,0.0,0.9873547345518164
429,20210108-100718,0.015,0.9873547345518164
430,20210108-100721,0.0,0.9873547345518164
431,20210108-100724,0.0,0.9873547345518164
432,20210108-100727,0.0,0.9873547345518164
433,20210108-100730,0.015,0.9873547345518164
434,20210108-100733,0.0,0.9873547345518164
435,20210108-100736,0.0,0.9873547345518164
436,20210108-100739,0.015,0.9873547345518164
437,20210108-100742,0.0,0.9873547345518164
438,20210108-100745,0.0,0.9873547345518164
439,20210108-100748,0.0,0.9873547345518164
