,requests
1761,1509300
1762,1529100
1763,1345725
1764,1370250
1765,1505250
1766,1341900
1767,1416375
1768,1394775
1769,1363500
1770,1232325
1771,1270350
1772,1191600
1773,1383525
1774,1514700
1775,1442250
1776,1437075
1777,1418175
1778,1310625
1779,1479825
1780,1467450
1781,1407375
1782,1505250
1783,1464750
1784,1314900
1785,1428300
1786,1496475
1787,1451700
1788,1463400
1789,1346625
1790,1351350
1791,1128375
1792,1167975
1793,1134675
1794,1195200
1795,1203975
1796,1176300
1797,1287675
1798,1521900
1799,1410975
1800,1441575
1801,1455525
1802,1328400
1803,1496700
1804,1401075
1805,1383075
1806,1422900
1807,1376775
1808,1399275
1809,1271925
1810,1402875
1811,1467675
1812,1460250
1813,1301175
1814,1436175
1815,1341000
1816,1361700
1817,1419525
1818,1349100
1819,1373175
1820,1355850
1821,1373175
1822,1391850
1823,1404900
1824,1511325
1825,1378800
1826,1305000
1827,1314450
1828,1260675
1829,1174050
1830,1147050
1831,1285200
1832,1235475
1833,1030050
1834,1129275
1835,1217700
1836,1284300
1837,1282275
1838,1230300
1839,1188225
1840,1036800
1841,1174950
1842,1169550
1843,973575
1844,420525
1845,1119600
1846,1213650
1847,1347750
1848,1096875
1849,1185300
1850,1018800
1851,1052325
1852,1147950
1853,1030275
1854,1073700
1855,1022175
1856,1269225
1857,1229625
1858,1293075
1859,1272150
1860,1275750
1861,1066500
1862,983475
1863,918900
1864,1041525
1865,967275
1866,1044225
1867,1078650
1868,1054575
1869,1270350
1870,1324350
1871,1281600
1872,1396575
1873,1351800
1874,1311075
1875,1383975
1876,1283175
1877,1219500
1878,1244475
1879,1260900
1880,1139175
1881,1193175
1882,1152450
1883,1014525
1884,980100
1885,996525
1886,918900
1887,1004175
1888,979650
1889,834525
1890,801225
1891,964575
1892,830925
1893,1043775
1894,1069875
1895,1023975
1896,1117350
1897,947475
1898,923175
1899,789975
1900,1033425
1901,403875
1902,802800
1903,742950
1904,924525
1905,730800
1906,909000
1907,976050
1908,1108350
1909,973575
1910,1021500
1911,1064475
1912,913950
1913,917325
1914,1066050
1915,952650
1916,357075
1917,124425
1918,1138725
1919,979200
1920,970425
1921,952425
1922,1043775
1923,1046700
1924,1066950
1925,995400
1926,879975
1927,1031625
1928,745875
1929,942075
1930,1120500
1931,947475
1932,565200
1933,399600
1934,184050
1935,438750
1936,803700
1937,903825
1938,757800
1939,647100
1940,436500
1941,357300
1942,509400
1943,111825
1944,62325
1945,1125
1946,450
1947,6525
1948,473625
1949,969525
1950,592650
1951,292500
1952,145125
1953,26100
1954,491625
1955,1071900
1956,1064475
1957,1018350
1958,992925
1959,1014750
1960,615825
1961,674100
1962,563850
1963,226575
1964,149175
1965,595350
1966,786375
1967,901125
1968,1061550
1969,1139850
1970,1090800
1971,916425
1972,977850
1973,996300
1974,1113075
1975,1052325
1976,1175400
